MatchDate:			 Date of the match.
Link_Pressure_13_minGreaterThanZero:	 Minimum of <Link_Pressure_13> (Pressure on player with ball.) with only values greater than zero. For <13th player>. During the whole duration of the events <attack>.
Link_Pressure_13_max:		 Maximum of <Link_Pressure_13> (Pressure on player with ball.). For <13th player>. During the whole duration of the events <attack>.
Link_Pressure_14_avg:		 Average of <Link_Pressure_14> (Pressure on player with ball.). For <14th player>. During the whole duration of the events <attack>.
Link_Pressure_14_avgGreaterThanZero:	 Average of <Link_Pressure_14> (Pressure on player with ball.) with only values greater than zero. For <14th player>. During the whole duration of the events <attack>.
Link_Pressure_14_std:		 Standard Deviation of <Link_Pressure_14> (Pressure on player with ball.). For <14th player>. During the whole duration of the events <attack>.
Link_Pressure_14_min:		 Minimum of <Link_Pressure_14> (Pressure on player with ball.). For <14th player>. During the whole duration of the events <attack>.
Link_Pressure_14_minGreaterThanZero:	 Minimum of <Link_Pressure_14> (Pressure on player with ball.) with only values greater than zero. For <14th player>. During the whole duration of the events <attack>.
Link_Pressure_14_max:		 Maximum of <Link_Pressure_14> (Pressure on player with ball.). For <14th player>. During the whole duration of the events <attack>.
Link_Pressure_15_avg:		 Average of <Link_Pressure_15> (Pressure on player with ball.). For <15th player>. During the whole duration of the events <attack>.
Link_Pressure_15_avgGreaterThanZero:	 Average of <Link_Pressure_15> (Pressure on player with ball.) with only values greater than zero. For <15th player>. During the whole duration of the events <attack>.
Link_Pressure_15_std:		 Standard Deviation of <Link_Pressure_15> (Pressure on player with ball.). For <15th player>. During the whole duration of the events <attack>.
Link_Pressure_15_min:		 Minimum of <Link_Pressure_15> (Pressure on player with ball.). For <15th player>. During the whole duration of the events <attack>.
Link_Pressure_15_minGreaterThanZero:	 Minimum of <Link_Pressure_15> (Pressure on player with ball.) with only values greater than zero. For <15th player>. During the whole duration of the events <attack>.
Link_Pressure_15_max:		 Maximum of <Link_Pressure_15> (Pressure on player with ball.). For <15th player>. During the whole duration of the events <attack>.
Link_Pressure_16_avg:		 Average of <Link_Pressure_16> (Pressure on player with ball.). For <16th player>. During the whole duration of the events <attack>.
Link_Pressure_16_avgGreaterThanZero:	 Average of <Link_Pressure_16> (Pressure on player with ball.) with only values greater than zero. For <16th player>. During the whole duration of the events <attack>.
Link_Pressure_16_std:		 Standard Deviation of <Link_Pressure_16> (Pressure on player with ball.). For <16th player>. During the whole duration of the events <attack>.
Link_Pressure_16_min:		 Minimum of <Link_Pressure_16> (Pressure on player with ball.). For <16th player>. During the whole duration of the events <attack>.
Link_Pressure_16_minGreaterThanZero:	 Minimum of <Link_Pressure_16> (Pressure on player with ball.) with only values greater than zero. For <16th player>. During the whole duration of the events <attack>.
Link_Pressure_16_max:		 Maximum of <Link_Pressure_16> (Pressure on player with ball.). For <16th player>. During the whole duration of the events <attack>.
Link_Pressure_17_avg:		 Average of <Link_Pressure_17> (Pressure on player with ball.). For <17th player>. During the whole duration of the events <attack>.
Link_Pressure_17_avgGreaterThanZero:	 Average of <Link_Pressure_17> (Pressure on player with ball.) with only values greater than zero. For <17th player>. During the whole duration of the events <attack>.
Link_Pressure_17_std:		 Standard Deviation of <Link_Pressure_17> (Pressure on player with ball.). For <17th player>. During the whole duration of the events <attack>.
Link_Pressure_17_min:		 Minimum of <Link_Pressure_17> (Pressure on player with ball.). For <17th player>. During the whole duration of the events <attack>.
Link_Pressure_17_minGreaterThanZero:	 Minimum of <Link_Pressure_17> (Pressure on player with ball.) with only values greater than zero. For <17th player>. During the whole duration of the events <attack>.
Link_Pressure_17_max:		 Maximum of <Link_Pressure_17> (Pressure on player with ball.). For <17th player>. During the whole duration of the events <attack>.
Link_Pressure_18_avg:		 Average of <Link_Pressure_18> (Pressure on player with ball.). For <18th player>. During the whole duration of the events <attack>.
Link_Pressure_18_avgGreaterThanZero:	 Average of <Link_Pressure_18> (Pressure on player with ball.) with only values greater than zero. For <18th player>. During the whole duration of the events <attack>.
Link_Pressure_18_std:		 Standard Deviation of <Link_Pressure_18> (Pressure on player with ball.). For <18th player>. During the whole duration of the events <attack>.
Link_Pressure_18_min:		 Minimum of <Link_Pressure_18> (Pressure on player with ball.). For <18th player>. During the whole duration of the events <attack>.
Link_Pressure_18_minGreaterThanZero:	 Minimum of <Link_Pressure_18> (Pressure on player with ball.) with only values greater than zero. For <18th player>. During the whole duration of the events <attack>.
Link_Pressure_18_max:		 Maximum of <Link_Pressure_18> (Pressure on player with ball.). For <18th player>. During the whole duration of the events <attack>.
Link_Pressure_19_avg:		 Average of <Link_Pressure_19> (Pressure on player with ball.). For <19th player>. During the whole duration of the events <attack>.
Link_Pressure_19_avgGreaterThanZero:	 Average of <Link_Pressure_19> (Pressure on player with ball.) with only values greater than zero. For <19th player>. During the whole duration of the events <attack>.
Link_Pressure_19_std:		 Standard Deviation of <Link_Pressure_19> (Pressure on player with ball.). For <19th player>. During the whole duration of the events <attack>.
Link_Pressure_19_min:		 Minimum of <Link_Pressure_19> (Pressure on player with ball.). For <19th player>. During the whole duration of the events <attack>.
Link_Pressure_19_minGreaterThanZero:	 Minimum of <Link_Pressure_19> (Pressure on player with ball.) with only values greater than zero. For <19th player>. During the whole duration of the events <attack>.
Link_Pressure_19_max:		 Maximum of <Link_Pressure_19> (Pressure on player with ball.). For <19th player>. During the whole duration of the events <attack>.
Link_Pressure_20_avg:		 Average of <Link_Pressure_20> (Pressure on player with ball.). For <20th player>. During the whole duration of the events <attack>.
Link_Pressure_20_avgGreaterThanZero:	 Average of <Link_Pressure_20> (Pressure on player with ball.) with only values greater than zero. For <20th player>. During the whole duration of the events <attack>.
Link_Pressure_20_std:		 Standard Deviation of <Link_Pressure_20> (Pressure on player with ball.). For <20th player>. During the whole duration of the events <attack>.
Link_Pressure_20_min:		 Minimum of <Link_Pressure_20> (Pressure on player with ball.). For <20th player>. During the whole duration of the events <attack>.
Link_Pressure_20_minGreaterThanZero:	 Minimum of <Link_Pressure_20> (Pressure on player with ball.) with only values greater than zero. For <20th player>. During the whole duration of the events <attack>.
Link_Pressure_20_max:		 Maximum of <Link_Pressure_20> (Pressure on player with ball.). For <20th player>. During the whole duration of the events <attack>.
Link_Pressure_21_avg:		 Average of <Link_Pressure_21> (Pressure on player with ball.). For <21th player>. During the whole duration of the events <attack>.
Link_Pressure_21_avgGreaterThanZero:	 Average of <Link_Pressure_21> (Pressure on player with ball.) with only values greater than zero. For <21th player>. During the whole duration of the events <attack>.
Link_Pressure_21_std:		 Standard Deviation of <Link_Pressure_21> (Pressure on player with ball.). For <21th player>. During the whole duration of the events <attack>.
Link_Pressure_21_min:		 Minimum of <Link_Pressure_21> (Pressure on player with ball.). For <21th player>. During the whole duration of the events <attack>.
Link_Pressure_21_minGreaterThanZero:	 Minimum of <Link_Pressure_21> (Pressure on player with ball.) with only values greater than zero. For <21th player>. During the whole duration of the events <attack>.
Link_Pressure_21_max:		 Maximum of <Link_Pressure_21> (Pressure on player with ball.). For <21th player>. During the whole duration of the events <attack>.
Link_Pressure_22_avg:		 Average of <Link_Pressure_22> (Pressure on player with ball.). For <22th player>. During the whole duration of the events <attack>.
Link_Pressure_22_avgGreaterThanZero:	 Average of <Link_Pressure_22> (Pressure on player with ball.) with only values greater than zero. For <22th player>. During the whole duration of the events <attack>.
Link_Pressure_22_std:		 Standard Deviation of <Link_Pressure_22> (Pressure on player with ball.). For <22th player>. During the whole duration of the events <attack>.
Link_Pressure_22_min:		 Minimum of <Link_Pressure_22> (Pressure on player with ball.). For <22th player>. During the whole duration of the events <attack>.
Link_Pressure_22_minGreaterThanZero:	 Minimum of <Link_Pressure_22> (Pressure on player with ball.) with only values greater than zero. For <22th player>. During the whole duration of the events <attack>.
Link_Pressure_22_max:		 Maximum of <Link_Pressure_22> (Pressure on player with ball.). For <22th player>. During the whole duration of the events <attack>.
minDistToDef_avg:		 Average of <minDistToDef> (Distance to closest defender for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
minDistToDef_avgGreaterThanZero:	 Average of <minDistToDef> (Distance to closest defender for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
minDistToDef_std:		 Standard Deviation of <minDistToDef> (Distance to closest defender for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
minDistToDef_min:		 Minimum of <minDistToDef> (Distance to closest defender for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
minDistToDef_minGreaterThanZero:	 Minimum of <minDistToDef> (Distance to closest defender for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
minDistToDef_max:		 Maximum of <minDistToDef> (Distance to closest defender for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
minDistToDef_avg_perTimePerPlayer_ref_avg:	 Average of <minDistToDef_avg_perTimePerPlayer_ref> (Distance to closest defender for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
minDistToDef_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <minDistToDef_avg_perTimePerPlayer_ref> (Distance to closest defender for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
minDistToDef_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <minDistToDef_avg_perTimePerPlayer_ref> (Distance to closest defender for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
minDistToDef_avg_perTimePerPlayer_ref_min:	 Minimum of <minDistToDef_avg_perTimePerPlayer_ref> (Distance to closest defender for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
minDistToDef_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <minDistToDef_avg_perTimePerPlayer_ref> (Distance to closest defender for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
minDistToDef_avg_perTimePerPlayer_ref_max:	 Maximum of <minDistToDef_avg_perTimePerPlayer_ref> (Distance to closest defender for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef2_avg:		 Average of <avgDistToDef2> (Average distance to the two closest defenders for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef2_avgGreaterThanZero:	 Average of <avgDistToDef2> (Average distance to the two closest defenders for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef2_std:		 Standard Deviation of <avgDistToDef2> (Average distance to the two closest defenders for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef2_min:		 Minimum of <avgDistToDef2> (Average distance to the two closest defenders for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef2_minGreaterThanZero:	 Minimum of <avgDistToDef2> (Average distance to the two closest defenders for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef2_max:		 Maximum of <avgDistToDef2> (Average distance to the two closest defenders for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef2_avg_perTimePerPlayer_ref_avg:	 Average of <avgDistToDef2_avg_perTimePerPlayer_ref> (Average distance to the two closest defenders for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef2_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <avgDistToDef2_avg_perTimePerPlayer_ref> (Average distance to the two closest defenders for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef2_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <avgDistToDef2_avg_perTimePerPlayer_ref> (Average distance to the two closest defenders for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef2_avg_perTimePerPlayer_ref_min:	 Minimum of <avgDistToDef2_avg_perTimePerPlayer_ref> (Average distance to the two closest defenders for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef2_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <avgDistToDef2_avg_perTimePerPlayer_ref> (Average distance to the two closest defenders for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef2_avg_perTimePerPlayer_ref_max:	 Maximum of <avgDistToDef2_avg_perTimePerPlayer_ref> (Average distance to the two closest defenders for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef3_avg:		 Average of <avgDistToDef3> (Average distance to the three closest defenders for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef3_avgGreaterThanZero:	 Average of <avgDistToDef3> (Average distance to the three closest defenders for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef3_std:		 Standard Deviation of <avgDistToDef3> (Average distance to the three closest defenders for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef3_min:		 Minimum of <avgDistToDef3> (Average distance to the three closest defenders for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef3_minGreaterThanZero:	 Minimum of <avgDistToDef3> (Average distance to the three closest defenders for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef3_max:		 Maximum of <avgDistToDef3> (Average distance to the three closest defenders for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
avgDistToDef3_avg_perTimePerPlayer_ref_avg:	 Average of <avgDistToDef3_avg_perTimePerPlayer_ref> (Average distance to the three closest defenders for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef3_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <avgDistToDef3_avg_perTimePerPlayer_ref> (Average distance to the three closest defenders for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef3_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <avgDistToDef3_avg_perTimePerPlayer_ref> (Average distance to the three closest defenders for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef3_avg_perTimePerPlayer_ref_min:	 Minimum of <avgDistToDef3_avg_perTimePerPlayer_ref> (Average distance to the three closest defenders for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef3_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <avgDistToDef3_avg_perTimePerPlayer_ref> (Average distance to the three closest defenders for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
avgDistToDef3_avg_perTimePerPlayer_ref_max:	 Maximum of <avgDistToDef3_avg_perTimePerPlayer_ref> (Average distance to the three closest defenders for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_avg:	 Average of <minAngleInPossDefGoal> (Angle between player with ball, defender and goal for the closest defender.). For <playerRows>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_avgGreaterThanZero:	 Average of <minAngleInPossDefGoal> (Angle between player with ball, defender and goal for the closest defender.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_std:	 Standard Deviation of <minAngleInPossDefGoal> (Angle between player with ball, defender and goal for the closest defender.). For <playerRows>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_min:	 Minimum of <minAngleInPossDefGoal> (Angle between player with ball, defender and goal for the closest defender.). For <playerRows>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_minGreaterThanZero:	 Minimum of <minAngleInPossDefGoal> (Angle between player with ball, defender and goal for the closest defender.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_max:	 Maximum of <minAngleInPossDefGoal> (Angle between player with ball, defender and goal for the closest defender.). For <playerRows>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_avg_perTimePerPlayer_ref_avg:	 Average of <minAngleInPossDefGoal_avg_perTimePerPlayer_ref> (Angle between player with ball, defender and goal for the closest defender.). For <refTeam>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <minAngleInPossDefGoal_avg_perTimePerPlayer_ref> (Angle between player with ball, defender and goal for the closest defender.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <minAngleInPossDefGoal_avg_perTimePerPlayer_ref> (Angle between player with ball, defender and goal for the closest defender.). For <refTeam>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_avg_perTimePerPlayer_ref_min:	 Minimum of <minAngleInPossDefGoal_avg_perTimePerPlayer_ref> (Angle between player with ball, defender and goal for the closest defender.). For <refTeam>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <minAngleInPossDefGoal_avg_perTimePerPlayer_ref> (Angle between player with ball, defender and goal for the closest defender.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
minAngleInPossDefGoal_avg_perTimePerPlayer_ref_max:	 Maximum of <minAngleInPossDefGoal_avg_perTimePerPlayer_ref> (Angle between player with ball, defender and goal for the closest defender.). For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_avg:	 Average of <avgAngleInPossDefGoal2> (Average angle between player with ball, defender and goal for the two closest defenders.). For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_avgGreaterThanZero:	 Average of <avgAngleInPossDefGoal2> (Average angle between player with ball, defender and goal for the two closest defenders.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_std:	 Standard Deviation of <avgAngleInPossDefGoal2> (Average angle between player with ball, defender and goal for the two closest defenders.). For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_min:	 Minimum of <avgAngleInPossDefGoal2> (Average angle between player with ball, defender and goal for the two closest defenders.). For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_minGreaterThanZero:	 Minimum of <avgAngleInPossDefGoal2> (Average angle between player with ball, defender and goal for the two closest defenders.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_max:	 Maximum of <avgAngleInPossDefGoal2> (Average angle between player with ball, defender and goal for the two closest defenders.). For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref_avg:	 Average of <avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the two closest defenders.). For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the two closest defenders.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the two closest defenders.). For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref_min:	 Minimum of <avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the two closest defenders.). For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the two closest defenders.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref_max:	 Maximum of <avgAngleInPossDefGoal2_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the two closest defenders.). For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_avg:	 Average of <avgAngleInPossDefGoal3> (Average angle between player with ball, defender and goal for the three closest defenders.). For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_avgGreaterThanZero:	 Average of <avgAngleInPossDefGoal3> (Average angle between player with ball, defender and goal for the three closest defenders.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_std:	 Standard Deviation of <avgAngleInPossDefGoal3> (Average angle between player with ball, defender and goal for the three closest defenders.). For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_min:	 Minimum of <avgAngleInPossDefGoal3> (Average angle between player with ball, defender and goal for the three closest defenders.). For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_minGreaterThanZero:	 Minimum of <avgAngleInPossDefGoal3> (Average angle between player with ball, defender and goal for the three closest defenders.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_max:	 Maximum of <avgAngleInPossDefGoal3> (Average angle between player with ball, defender and goal for the three closest defenders.). For <playerRows>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref_avg:	 Average of <avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the three closest defenders.). For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the three closest defenders.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the three closest defenders.). For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref_min:	 Minimum of <avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the three closest defenders.). For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the three closest defenders.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref_max:	 Maximum of <avgAngleInPossDefGoal3_avg_perTimePerPlayer_ref> (Average angle between player with ball, defender and goal for the three closest defenders.). For <refTeam>. During the whole duration of the events <attack>.
Link_Density_avg:		 Average of <Link_Density> (Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Density_avgGreaterThanZero:	 Average of <Link_Density> (Density for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Link_Density_std:		 Standard Deviation of <Link_Density> (Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Density_min:		 Minimum of <Link_Density> (Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Density_minGreaterThanZero:	 Minimum of <Link_Density> (Density for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Link_Density_max:		 Maximum of <Link_Density> (Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Density_avg_perTimePerPlayer_ref_avg:	 Average of <Link_Density_avg_perTimePerPlayer_ref> (Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Density_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <Link_Density_avg_perTimePerPlayer_ref> (Density for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Link_Density_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <Link_Density_avg_perTimePerPlayer_ref> (Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Density_avg_perTimePerPlayer_ref_min:	 Minimum of <Link_Density_avg_perTimePerPlayer_ref> (Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Density_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <Link_Density_avg_perTimePerPlayer_ref> (Density for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Link_Density_avg_perTimePerPlayer_ref_max:	 Maximum of <Link_Density_avg_perTimePerPlayer_ref> (Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Density_01_avg:		 Average of <Link_Density_01> (Density for player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Density_01_avgGreaterThanZero:	 Average of <Link_Density_01> (Density for player with ball.) with only values greater than zero. For <1th player>. During the whole duration of the events <attack>.
Link_Density_01_std:		 Standard Deviation of <Link_Density_01> (Density for player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Density_01_min:		 Minimum of <Link_Density_01> (Density for player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Density_01_minGreaterThanZero:	 Minimum of <Link_Density_01> (Density for player with ball.) with only values greater than zero. For <1th player>. During the whole duration of the events <attack>.
Link_Density_01_max:		 Maximum of <Link_Density_01> (Density for player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Density_02_avg:		 Average of <Link_Density_02> (Density for player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Density_02_avgGreaterThanZero:	 Average of <Link_Density_02> (Density for player with ball.) with only values greater than zero. For <2th player>. During the whole duration of the events <attack>.
Link_Density_02_std:		 Standard Deviation of <Link_Density_02> (Density for player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Density_02_min:		 Minimum of <Link_Density_02> (Density for player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Density_02_minGreaterThanZero:	 Minimum of <Link_Density_02> (Density for player with ball.) with only values greater than zero. For <2th player>. During the whole duration of the events <attack>.
Link_Density_02_max:		 Maximum of <Link_Density_02> (Density for player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Density_03_avg:		 Average of <Link_Density_03> (Density for player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Density_03_avgGreaterThanZero:	 Average of <Link_Density_03> (Density for player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Density_03_std:		 Standard Deviation of <Link_Density_03> (Density for player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Density_03_min:		 Minimum of <Link_Density_03> (Density for player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Density_03_minGreaterThanZero:	 Minimum of <Link_Density_03> (Density for player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Density_03_max:		 Maximum of <Link_Density_03> (Density for player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Density_04_avg:		 Average of <Link_Density_04> (Density for player with ball.). For <4th player>. During the whole duration of the events <attack>.
Link_Density_04_avgGreaterThanZero:	 Average of <Link_Density_04> (Density for player with ball.) with only values greater than zero. For <4th player>. During the whole duration of the events <attack>.
Link_Density_04_std:		 Standard Deviation of <Link_Density_04> (Density for player with ball.). For <4th player>. During the whole duration of the events <attack>.
Link_Density_04_min:		 Minimum of <Link_Density_04> (Density for player with ball.). For <4th player>. During the whole duration of the events <attack>.
Link_Density_04_minGreaterThanZero:	 Minimum of <Link_Density_04> (Density for player with ball.) with only values greater than zero. For <4th player>. During the whole duration of the events <attack>.
Link_Density_04_max:		 Maximum of <Link_Density_04> (Density for player with ball.). For <4th player>. During the whole duration of the events <attack>.
Link_Density_05_avg:		 Average of <Link_Density_05> (Density for player with ball.). For <5th player>. During the whole duration of the events <attack>.
Link_Density_05_avgGreaterThanZero:	 Average of <Link_Density_05> (Density for player with ball.) with only values greater than zero. For <5th player>. During the whole duration of the events <attack>.
Link_Density_05_std:		 Standard Deviation of <Link_Density_05> (Density for player with ball.). For <5th player>. During the whole duration of the events <attack>.
Link_Density_05_min:		 Minimum of <Link_Density_05> (Density for player with ball.). For <5th player>. During the whole duration of the events <attack>.
Link_Density_05_minGreaterThanZero:	 Minimum of <Link_Density_05> (Density for player with ball.) with only values greater than zero. For <5th player>. During the whole duration of the events <attack>.
Link_Density_05_max:		 Maximum of <Link_Density_05> (Density for player with ball.). For <5th player>. During the whole duration of the events <attack>.
Link_Density_06_avg:		 Average of <Link_Density_06> (Density for player with ball.). For <6th player>. During the whole duration of the events <attack>.
